ID;POP_SIZE;N_OFFSPRINGS;N_GEN;HYPERVOLUME;TIMESTAMP
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_50;100;70;50;0.2531656308513085;2024-02-01 15:29:58.027746
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_100;100;70;100;0.3237190123992999;2024-02-01 15:34:24.780045
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_150;100;70;150;0.3024755663427263;2024-02-01 15:32:13.454967
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_200;100;70;200;0.3109044861663068;2024-02-01 15:33:23.058759
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_250;100;70;250;0.2697630461049964;2024-02-01 15:35:41.497887
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_300;100;70;300;0.2527418732356435;2024-02-01 15:37:16.528753
.POP_SIZE_500.N_OFFSPRINGS_350.N_GEN_50;500;350;50;0.3092834501384877;2024-02-01 15:39:10.638317
.POP_SIZE_500.N_OFFSPRINGS_350.N_GEN_100;500;350;100;0.3042699490410582;2024-02-01 15:42:18.166022
.POP_SIZE_1000.N_OFFSPRINGS_700.N_GEN_50;1000;700;50;0.3236072245752667;2024-02-01 15:44:27.394164
.POP_SIZE_1000.N_OFFSPRINGS_700.N_GEN_100;1000;700;100;0.3236817685027768;2024-02-01 15:47:30.365371
.POP_SIZE_1000.N_OFFSPRINGS_700.N_GEN_150;1000;700;150;0.3355742021629398;2024-02-01 15:52:08.846509
.POP_SIZE_1000.N_OFFSPRINGS_700.N_GEN_200;1000;700;200;0.3149031201749572;2024-02-01 15:58:04.904773
.POP_SIZE_1500.N_OFFSPRINGS_1050.N_GEN_50;1500;1050;50;0.3286168669208225;2024-02-01 16:03:44.115693
.POP_SIZE_1500.N_OFFSPRINGS_1050.N_GEN_100;1500;1050;100;0.3123013654304279;2024-02-01 16:08:36.763839
.POP_SIZE_100.N_OFFSPRINGS_30.N_GEN_150;100;30;150;0.2703798501201125;2024-02-01 16:13:28.108247
.POP_SIZE_100.N_OFFSPRINGS_80.N_GEN_150;100;80;150;0.2856751209627749;2024-02-01 16:14:46.637655
.POP_SIZE_1000.N_OFFSPRINGS_300.N_GEN_150;1000;300;150;0.3143265936802626;2024-02-01 16:17:12.891691
.POP_SIZE_1000.N_OFFSPRINGS_900.N_GEN_150;1000;900;150;0.2805099383368921;2024-02-01 16:25:40.668367
.POP_SIZE_100.N_OFFSPRINGS_70.N_GEN_500;100;70;500;0.2751396538528272;2024-02-01 16:31:58.598079
.POP_SIZE_1000.N_OFFSPRINGS_700.N_GEN_500;1000;700;500;0.3104318645241426;2024-02-01 16:46:34.383395
.POP_SIZE_1250.N_OFFSPRINGS_875.N_GEN_100;1250;875;100;0.336471422450943;2024-02-01 16:55:44.725867
.POP_SIZE_1125.N_OFFSPRINGS_788.N_GEN_100;1125;788;100;0.3152826052552009;2024-02-01 17:00:22.735510
.POP_SIZE_1375.N_OFFSPRINGS_962.N_GEN_100;1375;962;100;0.2755153826860437;2024-02-01 17:07:27.650184
.POP_SIZE_1250.N_OFFSPRINGS_875.N_GEN_1000;1250;875;1000;0.31599054393014353;2024-02-01 17:39:11.459227
